model,impute_strategy,test_f1_mean,test_f1_min,test_f1_max,test_f1_std,train_f1_mean,train_f1_min,train_f1_max,train_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_min,train_balanced_accuracy_max,train_balanced_accuracy_std,test_roc_auc_mean,test_roc_auc_min,test_roc_auc_max,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_min,train_roc_auc_max,train_roc_auc_std,test_accuracy_mean,test_accuracy_min,test_accuracy_max,test_accuracy_std,train_accuracy_mean,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_recall_mean,test_recall_min,test_recall_max,test_recall_std,train_recall_mean,train_recall_min,train_recall_max,train_recall_std,test_precision_mean,test_precision_min,test_precision_max,test_precision_std,train_precision_mean,train_precision_min,train_precision_max,train_precision_std,num_rows_dropped
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",mean,0.7413666691369374,0.7094594594594594,0.7677419354838709,0.021165193366192346,0.9956106788756663,0.9934640522875817,0.9970396684428656,0.0011521753032171585,0.8043632829337316,0.7788519849193045,0.820867397435824,0.01498797470642614,0.99563117036537,0.9935064935064934,0.9970484061393152,0.0011415748132378683,0.9756515343299288,0.9684255090306819,0.9842842676766231,0.0046460432629026865,0.9999990685359901,0.9999975920117026,1.0,6.992185722437762e-07,0.9795208122907786,0.9774763245456872,0.9815668202764977,0.001309842036128037,0.9995790380796354,0.9993742355718633,0.9997155697138631,0.00011001525633547415,0.6105285376561971,0.5585106382978723,0.6436170212765957,0.030318852685826403,0.99126234073074,0.987012987012987,0.9940968122786304,0.002283149626475742,0.9457764465395917,0.9166666666666666,0.9754098360655737,0.021346713926911388,1.0,1.0,1.0,0.0,0
"LGBMClassifier(n_jobs=10, random_state=42)",mean,0.7382781409528297,0.6599326599326598,0.8125000000000001,0.0388316976629298,0.9123735487310267,0.9078014184397163,0.9210693825588798,0.0035374117723861592,0.8010621937486526,0.7579144502221424,0.8454757913646428,0.02298258692039759,0.9198858911010648,0.9155844155844156,0.9273180202713456,0.0031030144122790745,0.975017988231596,0.9704928868185824,0.9846489847991624,0.003807747254033946,0.9996647521723245,0.9995088674124951,0.9997671289113381,9.218931187009746e-05,0.9794695828027236,0.9741489633990273,0.9846429485538777,0.002642239767225979,0.9922292772076208,0.9918652938164856,0.9929459282646415,0.00028886786059178484,0.6036305302262749,0.5185185185185185,0.6914893617021277,0.045617480131496954,0.8398285599917991,0.8311688311688312,0.854695806261075,0.006219544968271107,0.9527728711788409,0.9074074074074074,0.9848484848484849,0.026980028896265416,0.9986688753094934,0.9978917779339423,1.0,0.0006595567679716926,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",median,0.7254136384420543,0.678082191780822,0.7588424437299035,0.02502625348403068,0.9947144230086137,0.9925661611656259,0.9979296066252588,0.0018506818838817229,0.7937780012049289,0.7613668382899152,0.815981027519489,0.017651568664353686,0.9947455876025387,0.9926210153482881,0.9979338842975207,0.0018328360056082782,0.9743235536854936,0.9686457695674312,0.9799408856282834,0.0035882735992938206,0.9999977269469257,0.9999901919305132,0.9999999647191745,2.9883558489050335e-06,0.9785736696158024,0.975940619401075,0.9808036856923471,0.0014429160200798619,0.9994937093174059,0.9992889242846579,0.9998008987997042,0.0001766205778275973,0.5892772711921648,0.5238095238095238,0.6349206349206349,0.035775155851622685,0.9894911752050772,0.9852420306965761,0.9958677685950413,0.0036656720112165464,0.9466884947217075,0.9069767441860465,0.9813084112149533,0.02299123006430547,1.0,1.0,1.0,0.0,0
"LGBMClassifier(n_jobs=10, random_state=42)",median,0.7248018398456599,0.6712328767123287,0.7731629392971245,0.0345960291681492,0.9057149075094026,0.9001297016861219,0.9114249037227214,0.0033707210645573626,0.792064217223202,0.7585868547407009,0.8212707316654557,0.021905854161641626,0.9144436450809256,0.9096513450038541,0.9193290682097354,0.0028142431110141663,0.973985700616905,0.9637802868162932,0.981214922794391,0.004969547930234985,0.9995738468530974,0.9994329055252518,0.9996851274526877,7.217996915252909e-05,0.9786760303004927,0.9754287176862042,0.9818274891220885,0.0021293115187687828,0.9916860091315769,0.9912395471869845,0.9921495008106493,0.0002725091521790164,0.5855538669368456,0.5185185185185185,0.6436170212765957,0.04389402656751917,0.8289649860422561,0.8193624557260921,0.8387477849970466,0.005628823445393476,0.9544968919607278,0.9145299145299145,0.9809523809523809,0.019997394221725643,0.9981520144256791,0.9971550497866287,0.9992892679459844,0.0005677163570436077,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",knn100,0.6494275914569805,0.5869565217391304,0.7,0.03565415367015257,0.9869568280013231,0.9831932773109243,0.9904648390941597,0.002194675590427209,0.7519117807688376,0.7144844187124197,0.7783142059464623,0.02049053723453282,0.9871293945275044,0.9834710743801653,0.9905548996458087,0.002138363844999605,0.9646334048678922,0.95723942034292,0.969548659196777,0.004412920074638891,0.9999949266772793,0.9999912679956906,0.9999989503954415,2.356122603981563e-06,0.9737611054560782,0.9708216022523676,0.9769644228308165,0.002069602320823054,0.9987598696326317,0.9984071903976336,0.999089823084362,0.00020597391206038815,0.5064054936395361,0.4308510638297872,0.5585106382978723,0.041175609471713406,0.9742587890550087,0.9669421487603306,0.9811097992916175,0.004276727689999216,0.9097036885712351,0.853448275862069,0.9528301886792453,0.03227108246449698,1.0,1.0,1.0,0.0,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",knn40,0.6346407883077327,0.5703703703703704,0.6915254237288135,0.035152595678693895,0.9848318666941422,0.9801324503311257,0.9880454273759712,0.002477049525017049,0.741504896717073,0.7041150103265005,0.7706041912261224,0.01895975231926429,0.9850913703570896,0.9805194805194806,0.9881866509155346,0.0023772610116189787,0.9587989363198137,0.9509648555720196,0.9653625834067732,0.004713210779714166,0.9999865042453007,0.9999442121946903,0.9999955633036132,1.4589589916986578e-05,0.973172300534273,0.9700460829493087,0.9767025089605734,0.00211871758956183,0.9985607674615015,0.9981227601114967,0.998862246494297,0.00023148643703351104,0.4851345266238883,0.4095744680851064,0.5425531914893617,0.03796549317782667,0.9701857290000981,0.961038961038961,0.9763733018310691,0.004752103295164614,0.9220134422507689,0.8256880733944955,0.967032967032967,0.039630024913877425,0.9999389499389499,0.9993894993894994,1.0,0.0001831501831501825,0
"LGBMClassifier(n_jobs=10, random_state=42)",knn100,0.6337014171387322,0.5777777777777778,0.68259385665529,0.03258533771249818,0.8570591896613019,0.8482173174872666,0.8675342008675342,0.006224244191350316,0.7390654966917481,0.7069090295377961,0.7661199199660738,0.017505062853341424,0.8753967173400247,0.8686241903403358,0.8836623776002321,0.004876612891084229,0.9603536602949261,0.9489673583372439,0.9672369602901718,0.005683948339046154,0.99875772174804,0.998439216322812,0.9990829543231854,0.00020744733949690033,0.9733514661344778,0.9708216022523676,0.9761904761904762,0.001899363502551914,0.9879371752435679,0.987285966209682,0.9887081176403664,0.0004574531642857569,0.4797984915006192,0.4148936170212766,0.5343915343915344,0.03498735925585613,0.7508561888629546,0.7373081463990555,0.7674144037780402,0.009768302283251729,0.9365517178211397,0.8640776699029126,0.989247311827957,0.03171984102648295,0.9983572566636303,0.9961270333075135,0.9992277992277993,0.0009412365870254678,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",knn20,0.6235765653032217,0.5535055350553505,0.673469387755102,0.03534165236514576,0.9815570062169984,0.9758162031438936,0.9898568019093079,0.00385735390289011,0.7356241404222774,0.6983925271606987,0.7630709746094362,0.019035415122871064,0.981905108262301,0.9763872491145218,0.9899586532782043,0.0037274838460719132,0.9563139412311141,0.9479069527955926,0.9682410470053676,0.007101521953640396,0.9999775727425098,0.9999245431344784,0.9999979448919151,2.02906822752431e-05,0.9725579463960534,0.9690299462503199,0.9754224270353302,0.0019775642693297926,0.9982564237383166,0.997724492988594,0.9990329095201524,0.00035934146600691025,0.4734267702352809,0.39893617021276595,0.5291005291005291,0.03808601170064993,0.963810216524602,0.9527744982290437,0.9799173065564087,0.007454967692143827,0.9171538180528926,0.8613861386138614,0.9560439560439561,0.029042545849557788,1.0,1.0,1.0,0.0,0
"LGBMClassifier(n_jobs=10, random_state=42)",knn40,0.612101281036425,0.5343511450381679,0.6917808219178083,0.042944278079057,0.8507045569805978,0.8429301533219762,0.8566621803499327,0.0037594115556688684,0.7266801209420588,0.6856324337931152,0.7669268053883438,0.021765380065777586,0.8706366049608288,0.8650523948483221,0.8756631890846613,0.0028333934084342413,0.9589652174376567,0.9514395179288796,0.96782758975885,0.005508713332123314,0.9986669517389244,0.9983149613138692,0.9991342885149612,0.00021844788119435862,0.9723531201824918,0.9687739953928846,0.9769644228308165,0.0024032343706207834,0.9874650165189218,0.9868877638090904,0.9878829251642631,0.00027599168136428895,0.4548125633232016,0.3723404255319149,0.5343915343915344,0.04327276532949944,0.7413509059806648,0.7302243211334121,0.7514757969303424,0.005666399821722551,0.9402504261365314,0.8876404494382022,0.9805825242718447,0.028911762925286622,0.9979346219742734,0.9960876369327074,0.9992057188244639,0.0010126007894644823,0
"LGBMClassifier(n_jobs=10, random_state=42)",knn20,0.6032806791975838,0.5283018867924528,0.6891891891891891,0.04191515201087402,0.8401305345094789,0.830864622803996,0.848813559322034,0.004932511792686965,0.7219021098270519,0.6852290995634837,0.7691688653227114,0.021608326298647788,0.8627786914000467,0.8559173953097954,0.8694797856393492,0.00371752316334571,0.9545008527404792,0.9380157485722135,0.9636815721103773,0.006919686682496716,0.9984004304316688,0.9980101261614094,0.998764031647705,0.0002206965632376806,0.9719178726696251,0.9680061428205784,0.9764525211159457,0.00228392625511708,0.9866970462515487,0.9860344729506798,0.9873144092382957,0.0003531323692925599,0.4452296521445457,0.3723404255319149,0.5396825396825397,0.04304032130937331,0.7256470319134767,0.7119244391971665,0.7390791027154664,0.007442201269400987,0.9400256515735018,0.8876404494382022,0.9767441860465116,0.025876938977550442,0.9975671403317143,0.9967845659163987,0.9983818770226537,0.0004994270342399604,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",knn5,0.5674919598857573,0.5227272727272727,0.6666666666666666,0.041168802056340374,0.9784574570132397,0.9739709443099274,0.9841079460269865,0.0038516476265997523,0.707747053390213,0.6825692719718907,0.759562450642647,0.020887142718475415,0.9789792749537141,0.9748965107545835,0.9843565525383707,0.0037021678391282492,0.9470606497805896,0.9323228046889749,0.9589575727055268,0.006865076567093185,0.9999734910127362,0.9999576630094092,0.9999942404052384,1.2188521582084776e-05,0.9694092266286921,0.9674859190988223,0.974910394265233,0.0023768997099085022,0.9979691446187566,0.9975538995392229,0.9984925194834746,0.0003562119805928375,0.41818360914105596,0.3670212765957447,0.5212765957446809,0.04163905792803689,0.9579645264792663,0.9498229043683589,0.9687131050767415,0.007405139873009209,0.8880732505980251,0.8080808080808081,0.9545454545454546,0.041608132599716297,0.9998769497465944,0.9993788819875776,1.0,0.0002461144920417927,0
"LGBMClassifier(n_jobs=10, random_state=42)",knn5,0.5402859430667722,0.490272373540856,0.6192170818505337,0.03653840789030952,0.8107833580756058,0.8008489564909799,0.8236924142708694,0.006052874187074568,0.6898136506976403,0.6667463060670917,0.7305760933011343,0.018511061400770183,0.8416027067813273,0.834105483153414,0.8508847425310113,0.004442040162566381,0.9468304102853147,0.9316937154498529,0.9587630045895185,0.006746889542322528,0.9977801989036269,0.9973738461987356,0.9980827385484633,0.0002450737130597953,0.9688972135168787,0.9664618535586278,0.9726062467997952,0.0016557616580185237,0.9846377468708571,0.9839861194072305,0.9855220866399295,0.00040887352217733834,0.3809720815039964,0.3351063829787234,0.4627659574468085,0.037226539058708936,0.6833159805881708,0.6682408500590319,0.7018890200708382,0.008909509117541979,0.9357220266970027,0.891566265060241,0.9722222222222222,0.022679423125031375,0.9968255654017476,0.9948006932409013,1.0,0.001759276950446583,0
"LGBMClassifier(n_jobs=10, random_state=42)",drop,0.5251467960574484,0.4081632653061224,0.6440677966101694,0.0711816469301447,1.0,1.0,1.0,0.0,0.687344648848877,0.6282051282051282,0.743305491173598,0.03232436679844983,1.0,1.0,1.0,0.0,0.9597609190364308,0.9351612950248539,0.979420125071063,0.011131698979154357,1.0,0.9999999999999999,1.0,3.510833468576701e-17,0.9853751404345882,0.9822123401889938,0.9883203559510567,0.0017761179027122708,1.0,1.0,1.0,0.0,0.37576923076923074,0.2564102564102564,0.48717948717948717,0.06451775795381645,1.0,1.0,1.0,0.0,0.8933604845446951,0.6842105263157895,1.0,0.09461381396378384,1.0,1.0,1.0,0.0,21081
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",drop,0.5142542771808705,0.392156862745098,0.6557377049180327,0.08823259443205177,1.0,1.0,1.0,0.0,0.6845743013618937,0.6276366233728371,0.7497157475838545,0.03935486744415392,1.0,1.0,1.0,0.0,0.9580284643346042,0.91873296307634,0.9809769536887217,0.018402280781880432,1.0,1.0,1.0,0.0,0.9849857880505855,0.9816564758198999,0.9883268482490273,0.0022519832435415918,1.0,1.0,1.0,0.0,0.37051282051282053,0.2564102564102564,0.5,0.07828915200395911,1.0,1.0,1.0,0.0,0.8576567266582746,0.6875,0.9523809523809523,0.09914486130636818,1.0,1.0,1.0,0.0,21081
"RandomForestClassifier(n_jobs=10, random_state=42)",mean,0.5084226320451515,0.37751004016064255,0.5693430656934306,0.049346584398844005,0.9997637853360656,0.9994093325457768,1.0,0.00017718280130646165,0.6789952077503584,0.6231177735950524,0.706371250564954,0.02122697969004565,0.9997638724911452,0.999409681227863,1.0,0.00017709563164109988,0.9303576565456991,0.9100937932770993,0.960790763932194,0.013341847907114327,1.0,1.0,1.0,0.0,0.9665421642014523,0.9603276170975172,0.9697977988226261,0.0024754182686843778,0.9999772454153033,0.9999431139427726,1.0,1.7065871106466244e-05,0.3607874591917145,0.25,0.4148936170212766,0.04204393506513322,0.9995277449822904,0.9988193624557261,1.0,0.00035419126328217754,0.8649711819034349,0.7704918032786885,0.9342105263157895,0.04292337404545034,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",median,0.4245181969966617,0.3090128755364807,0.47058823529411764,0.043660147662999534,0.9998228346370844,0.9997045790251108,1.0,0.00014465492184471786,0.6412587794346722,0.594534678162169,0.6586333548826326,0.017650630242803125,0.9998228869342546,0.9997046662728883,1.0,0.00014461222137631806,0.9240886889425693,0.9049561549561549,0.9539226399226514,0.013516317242246435,1.0,0.9999999999999999,1.0,4.965068306494546e-17,0.9629070133024987,0.958791911952905,0.9654466342462247,0.0017529599679545974,0.9999829339401233,0.9999715561623574,1.0,1.3934379542903398e-05,0.28531464595294376,0.19148936170212766,0.3191489361702128,0.035346385472916186,0.9996457738685092,0.9994093325457767,1.0,0.00028922444275263613,0.8371208155857884,0.7714285714285715,0.8955223880597015,0.035050536347757136,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",knn100,0.2679869442306964,0.1751152073732719,0.3183673469387755,0.04639785257941611,0.9998523592953216,0.9994093325457768,1.0,0.0001980963923553871,0.5812876407046643,0.5490542221311452,0.601302747988509,0.016771353146843793,0.9998524203069659,0.999409681227863,1.0,0.00019799893543388097,0.9176988517570965,0.8995612649458803,0.9367673476626639,0.010954029958889337,1.0,0.9999999999999999,1.0,3.510833468576701e-17,0.9567377326738111,0.9541847965190683,0.9582693292370712,0.0012619199896995146,0.9999857782429846,0.9999431123247149,1.0,1.9080585752380197e-05,0.16580265676010358,0.10052910052910052,0.2074468085106383,0.034153006381333485,0.9997048406139315,0.9988193624557261,1.0,0.0003959978708677371,0.7235018987838536,0.6486486486486487,0.8125,0.046691299440787155,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",knn40,0.2282869308620726,0.15813953488372093,0.27705627705627706,0.04008487489594636,0.9997932402166885,0.9991137370753324,1.0,0.0003249218328533339,0.5672428559405309,0.5438683185253415,0.5833112756189679,0.013717047581485843,0.9997933884297521,0.9991145218417945,1.0,0.0003246753246753497,0.9143977693426981,0.9002884840926124,0.9382748451024927,0.010247764812725537,1.0,0.9999999999999999,1.0,3.510833468576701e-17,0.9554832589398341,0.9536728948041976,0.9572562068082928,0.0011549325822749266,0.9999800896372617,0.9999146684870722,1.0,3.128783896119216e-05,0.13760553866936845,0.09042553191489362,0.1702127659574468,0.027899407973402193,0.999586776859504,0.9982290436835891,1.0,0.0006493506493506501,0.693150735095837,0.6216216216216216,0.7837837837837838,0.05851839101052737,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",knn20,0.21236486778024327,0.15668202764976957,0.28205128205128205,0.04098359645307074,0.9997637853309136,0.9997045790251108,1.0,0.00011810734581545003,0.5618727398555428,0.5435994290389203,0.5856878164570473,0.013690345680153617,0.9997638550570409,0.9997046662728883,1.0,0.00011807248274189854,0.9069028552453947,0.8862354327690467,0.9273311860314772,0.013587669572549513,1.0,0.9999999999999999,1.0,3.510833468576701e-17,0.9548688458267625,0.9531609930893269,0.9577681085231635,0.0014096540698022744,0.9999772453344005,0.9999715561623574,1.0,1.1377332805204588e-05,0.12697286952606102,0.09042553191489362,0.1746031746031746,0.027340638585657547,0.9995277101140818,0.9994093325457767,1.0,0.00023614496548379709,0.6608926332799671,0.5862068965517241,0.7804878048780488,0.05954664421775362,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",knn5,0.16072197826255802,0.0970873786407767,0.21929824561403508,0.034021419020376066,0.999822852081488,0.9997047534691467,1.0,0.000144640669783511,0.5452282679944058,0.5255198974511577,0.5644721481464525,0.010745339866249213,0.9998229043683589,0.9997048406139315,1.0,0.00014459797773219406,0.8945263535504371,0.8808698424083039,0.9153277019102596,0.011687065089495149,1.0,1.0,1.0,0.0,0.9529489522855441,0.9516252879447146,0.9546966982339391,0.001099159627330405,0.999982934021026,0.9999715561623574,1.0,1.3934313485583487e-05,0.09403354722503658,0.05319148936170213,0.13297872340425532,0.021727698989825617,0.9996458087367179,0.999409681227863,1.0,0.0002891959554643881,0.5706935910564943,0.48148148148148145,0.6875,0.07137834369752655,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",drop,0.07092183587482945,0.0,0.1702127659574468,0.0655267029440621,0.9994306046937627,0.9971509971509972,1.0,0.0009445410496243462,0.5193118536404849,0.4980102330869812,0.5501450416174691,0.01946143324334588,0.9994318181818181,0.9971590909090908,1.0,0.0009422229518055382,0.9073360496335198,0.8791489919972012,0.9402359295054008,0.017977418961639912,1.0,1.0,1.0,0.0,0.976922694043966,0.9744160177975528,0.9794215795328143,0.0016906413583269362,0.9999752853766486,0.9998764287920915,1.0,4.0984278490572426e-05,0.0408974358974359,0.0,0.10256410256410256,0.038343622665047615,0.9988636363636363,0.9943181818181818,1.0,0.0018844459036110293,0.2991666666666667,0.0,0.75,0.2815248656868519,1.0,1.0,1.0,0.0,21081
DummyClassifier(strategy='most_frequent'),knn100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),knn40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),knn20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),knn5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),drop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9782572631810652,0.9777654252362423,0.9783212896053363,0.00016401493425549762,0.978257243201484,0.9782501235788433,0.9783119130004944,1.8230972277752436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21081
